Zip,Unemp. Rate,# in sample
17401,0.22,12340
17402,0.06,29430
17403,0.11,31617
17404,0.08,26523
17406,0.07,18078
17407,0.04,1625
17408,0.07,17745
17501,0.05,3786
17502,0.05,2130
17505,0.02,873
17507,0.00,16
17508,0.00,131
17509,0.06,3131
17512,0.08,14187
17516,0.04,3613
17517,0.05,11600
17518,0.09,872
17519,0.03,4685
17520,0.10,3911
17522,0.05,24900
17527,0.02,4156
17529,0.03,2921
17532,0.04,2706
17535,0.03,1313
17536,0.03,1889
17538,0.06,5043
17540,0.04,7439
17543,0.05,32324
17545,0.06,16953
17547,0.08,5427
17550,0.00,372
17551,0.05,9550
17552,0.06,14853
17554,0.06,5646
17555,0.04,5804
17557,0.05,10531
17560,0.06,3640
17562,0.05,3338
17563,0.08,2848
17565,0.10,1618
17566,0.06,9071
17569,0.08,4317
17570,0.33,149
17572,0.01,2412
17576,0.00,119
17578,0.05,5819
17579,0.04,4559
17581,0.04,730
17582,0.01,1676
17584,0.06,7446
17601,0.06,39057
17602,0.10,39588
17603,0.09,50848
17606,0.00,604
17701,0.09,36137
17702,0.07,8780
17721,0.07,1497
17723,0.00,41
17724,0.06,4332
17727,0.00,44
17728,0.07,4441
17729,0.00,93
17730,0.00,341
17731,0.00,76
17737,0.09,4893
17739,0.10,43
17740,0.08,10219
17742,0.00,70
17744,0.08,2802
17745,0.09,16024
17747,0.06,2218
17748,0.00,231
17749,0.04,175
17750,0.36,96
17751,0.06,5729
17752,0.10,3817
17754,0.07,10246
17756,0.06,9942
17758,0.01,806
17760,0.04,412
17762,0.05,355
17763,0.10,319
17764,0.12,1725
17765,0.04,736
17767,0.00,83
17768,0.09,221
17771,0.08,2785
17772,0.04,2025
17774,0.05,916
17776,0.02,160
17777,0.06,5359
17778,0.16,68
17779,0.00,185
17801,0.11,13357
17810,0.09,5697
17812,0.05,1116
17813,0.07,1705
17814,0.08,3654
17815,0.06,26966
17820,0.07,4715
17821,0.05,15146
17822,,0
17823,0.02,783
17824,0.05,3277
17827,0.10,505
17829,0.08,186
17830,0.04,1507
17832,0.05,544
17834,0.05,2788
17835,0.06,143
17836,0.00,116
17837,0.06,17129
17840,0.14,382
17841,0.06,3909
17842,0.07,6823
17844,0.07,7593
17845,0.08,1816
17846,0.07,2881
17847,0.06,9935
17850,0.10,459
17851,0.10,6686
17853,0.05,2498
17855,0.05,815
17856,0.08,2899
17857,0.06,6406
17859,0.05,2912
17860,0.06,1706
17861,0.00,68
17862,0.02,417
17864,0.07,1923
17865,0.14,114
17866,0.11,9141
17867,0.05,133
17868,0.04,834
17870,0.05,12565
17872,0.12,8129
17876,0.09,1594
17878,0.07,1190
17880,0.00,64
17881,0.07,1453
17884,0.22,222
17885,0.00,131
17886,0.15,583
17887,0.00,256
17888,0.03,294
17889,0.05,1741
17901,0.07,19720
17920,0.01,231
17921,0.09,6524
17922,0.05,3708
17923,0.06,285
17925,0.05,284
17929,0.08,1353
17930,0.27,346
17931,0.08,7581
17933,0.00,87
17934,0.07,473
17935,0.15,1517
17936,0.16,629
17938,0.08,1949
17941,0.08,599
17943,0.00,536
17944,0.10,191
17945,0.00,84
17946,0.42,311
17948,0.15,4116
17949,0.09,215
17951,0.03,235
17952,0.04,199
17953,0.14,399
17954,0.07,3599
17957,0.09,259
17959,0.10,1118
17960,0.07,3185
17961,0.05,5770
17963,0.06,7611
17964,0.03,553
17965,0.06,1670
17967,0.09,1951
17968,0.02,268
17970,0.08,2866
17972,0.07,8898
17974,0.21,253
17976,0.12,5571
17978,0.05,168
17979,0.00,145
17980,0.05,2527
17981,0.05,2290
17982,0.03,296
17983,0.06,1278
17985,0.07,892
18011,0.06,4235
18013,0.08,15130
18014,0.07,9180
18015,0.09,26288
18016,,0
18017,0.08,29575
18018,0.07,27758
18020,0.06,16783
18030,0.04,472
18031,0.08,4870
18032,0.07,7518
18034,0.05,6270
18035,0.00,182
18036,0.05,10600
18037,0.06,5590
18038,0.05,2659
18040,0.08,11398
18041,0.09,4079
18042,0.10,33660
18045,0.07,20725
18046,,0
18049,0.06,14213
18051,0.10,3232
18052,0.08,21900
18053,0.06,2249
18054,0.04,3439
18055,0.07,9493
18056,0.04,638
18058,0.08,7693
18059,0.06,1056
18062,0.07,18079
18063,0.12,552
18064,0.07,19431
18066,0.04,4668
18067,0.05,14258
18068,0.00,96
18069,0.06,6018
18070,0.04,661
18071,0.05,8719
18072,0.07,5165
18073,0.08,6998
18074,0.07,4894
18076,0.06,2275
18077,0.03,1947
18078,0.08,5565
18079,0.00,400
18080,0.09,9470
18081,0.09,393
18083,0.03,470
18085,0.02,739
18086,0.03,505
18087,0.00,481
18088,0.05,6831
18091,0.07,4940
18092,0.03,2766
18101,0.21,3607
18102,0.19,33820
18103,0.09,37581
18104,0.07,35852
18105,,59
18106,0.05,5377
18109,0.10,12382
18195,,0
18201,0.09,21471
18202,0.08,9790
18210,0.15,5356
18211,0.08,1059
18212,0.00,113
18214,0.08,1964
18216,0.07,958
18218,0.13,1960
18219,0.08,1102
18220,0.02,255
18221,0.34,307
18222,0.04,7346
18223,0.00,73
18224,0.04,4656
18225,,3
18229,0.10,7703
18230,0.00,77
18231,0.05,432
18232,0.17,3190
18234,0.00,243
18235,0.07,15699
18237,0.11,2893
18239,0.22,371
18240,0.14,3221
18241,0.07,658
18242,0.04,192
18244,0.14,383
18245,0.09,400
18246,0.00,111
18248,0.05,515
18249,0.05,2839
18250,0.09,2443
18251,0.00,52
18252,0.10,9302
18254,0.14,631
18255,0.06,3612
18256,0.00,399
18301,0.11,22879
18302,0.13,13218
18321,0.19,1491
18322,0.13,2273
18323,,65
18324,0.16,8169
18325,0.05,1355
18326,0.06,4119
18327,0.08,675
18328,0.13,5924
18330,0.09,6845
18331,0.20,919
18332,0.21,1827
18333,0.05,667
18334,0.23,3271
18335,0.00,159
18336,0.08,3075
18337,0.10,11581
18340,0.00,91
18342,0.00,469
18343,0.03,3020
18344,0.11,2729
18346,0.11,1599
18347,0.10,2003
18349,0.00,196
18350,0.14,1430
18351,0.17,355
18352,0.11,714
18353,0.10,10337
18354,0.11,425
18355,0.11,1241
18356,0.00,119
18357,0.00,107
18360,0.10,23502
18370,0.07,1049
18371,0.08,368
18372,0.07,2414
18403,0.09,5317
18405,0.06,2051
18407,0.11,11261
18411,0.04,18027
18413,0.00,151
18414,0.06,4501
18415,0.09,944
18417,0.03,965
18419,0.06,3642
18420,0.00,31
18421,0.06,3643
18424,0.09,4240
18425,0.02,1228
18426,0.11,4040
18427,0.00,129
18428,0.11,9833
18430,0.00,34
18431,0.05,11428
18433,0.03,5994
18434,0.06,3413
18435,0.17,542
18436,0.05,11626
18437,0.04,143
18438,0.04,850
18439,0.01,417
18441,0.05,242
18443,0.06,287
18444,0.05,10592
18445,0.09,1556
18446,0.06,2964
18447,0.07,8424
18451,0.05,411
18452,0.08,4387
18453,0.06,865
18454,0.00,34
18455,0.00,97
18456,0.08,333
18457,0.00,29
18458,0.09,2441
18459,0.00,28
18460,0.28,155
18461,0.21,200
18462,0.06,355
18463,0.09,250
18464,0.03,741
18465,0.07,1413
18466,0.17,13506
18469,0.10,427
18470,0.12,2130
18471,0.00,352
18472,0.09,6448
18473,0.04,314
18503,0.05,916
18504,0.07,17196
18505,0.07,16596
18507,0.03,4150
18508,0.09,9480
18509,0.06,11384
18510,0.10,12686
18512,0.05,10481
18517,0.08,4032
18518,0.11,6966
18519,0.04,4068
18602,0.02,202
18603,0.06,15324
18610,0.10,4034
18612,0.08,13933
18614,0.09,2251
18615,0.05,1744
18616,0.00,517
18617,0.14,1602
18618,0.06,3346
18619,0.16,198
18621,0.06,5144
18622,0.04,202
18623,0.04,1955
18624,0.06,395
18625,0.02,326
18626,0.06,573
18628,0.00,188
18629,0.11,1556
18630,0.06,2518
18631,0.03,1098
18632,0.00,374
18634,0.07,11085
18635,0.05,3029
18636,0.08,1305
18640,0.10,14293
18641,0.11,5792
18642,0.07,3312
18643,0.06,10796
18644,0.07,6477
18651,0.09,7531
18653,0.00,94
18655,0.07,5285
18656,0.04,1992
18657,0.08,9995
18660,0.08,2765
18661,0.06,4570
18701,0.10,2912
18702,0.07,34122
18704,0.07,26073
18705,0.09,11766
18706,0.06,13513
18707,0.06,12336
18708,0.02,8220
18709,0.15,2363
18801,0.08,7143
18810,0.05,4842
18812,0.09,1341
18814,0.02,130
18816,0.06,113
18817,0.06,184
18818,0.05,1137
18821,0.08,1107
18822,0.11,2792
18823,0.00,147
18824,0.05,1080
18825,0.08,116
18826,0.04,1143
18828,0.08,205
18829,0.03,657
18830,0.12,702
18831,0.06,864
18832,0.05,1573
18833,0.13,1478
18834,0.06,3043
18837,0.05,2608
18840,0.07,8894
18842,0.12,214
18843,0.10,172
18844,0.07,1490
18845,0.06,242
18846,0.07,621
18847,0.08,4752
18848,0.06,7052
18850,0.05,1720
18851,0.05,665
18853,0.05,3393
18854,0.05,1151
18901,0.07,23233
18902,0.04,15216
18912,,0
18913,0.00,27
18914,0.05,15431
18915,0.04,705
18917,0.11,1755
18920,0.00,165
18923,0.00,619
18925,0.04,4224
18929,0.03,6384
18930,0.09,2114
18932,0.08,282
18935,0.00,40
18936,0.50,39
18938,0.04,11563
18940,0.05,22832
18942,0.07,3318
18944,0.07,19180
18947,0.08,5074
18950,0.00,123
18951,0.07,26989
18954,0.09,7569
18955,0.05,1318
18960,0.07,10177
18962,0.06,357
18964,0.07,10521
18966,0.06,30967
18969,0.05,11813
18970,0.12,541
18972,0.06,2934
18974,0.08,33444
18976,0.07,14563
18977,0.05,3235
18980,0.02,374
19001,0.07,13965
19002,0.05,25223
19003,0.05,11250
19004,0.03,7363
19006,0.07,17036
19007,0.08,16269
19008,0.07,16659
19009,0.07,804
19010,0.04,17906
19012,0.06,5507
19013,0.16,27468
19014,0.06,17003
19015,0.08,12972
19017,0.04,300
19018,0.10,19277
19020,0.07,46154
19021,0.08,8501
19022,0.13,3088
19023,0.16,16519
19025,0.04,4642
19026,0.07,24805
19027,0.08,16125
19029,0.07,3159
19030,0.09,10169
19031,0.05,3995
19032,0.13,5307
19033,0.07,6528
19034,0.03,4478
19035,0.06,2697
19036,0.07,10176
19038,0.08,24587
19040,0.06,16306
19041,0.04,5208
19043,0.08,2151
19044,0.08,13293
19046,0.05,14794
19047,0.06,29042
19050,0.08,22628
19053,0.07,20764
19054,0.06,13755
19055,0.08,10966
19056,0.06,12993
19057,0.07,13286
19060,0.06,8168
19061,0.09,15468
19063,0.05,29471
19064,0.06,19595
19066,0.07,4567
19067,0.07,40143
19070,0.04,5925
19072,0.05,7468
19073,0.04,14878
19074,0.09,4628
19075,0.05,5908
19076,0.05,5387
19078,0.08,9083
19079,0.19,6883
19081,0.06,8721
19082,0.10,30637
19083,0.05,27661
19085,0.05,7505
19086,0.08,8986
19087,0.04,26174
19090,0.06,14951
19094,0.10,2747
19095,0.03,6044
19096,0.03,10673
19102,0.03,3667
19103,0.05,21037
19104,0.12,46273
19106,0.02,9897
19107,0.09,11297
19109,,0
19111,0.12,50093
19112,,0
19113,0.00,75
19114,0.12,26367
19115,0.09,28410
19116,0.08,27302
19118,0.07,8132
19119,0.08,22434
19120,0.17,52463
19121,0.22,27013
19122,0.18,15393
19123,0.13,9900
19124,0.17,47624
19125,0.13,17401
19126,0.17,13522
19127,0.05,4320
19128,0.08,29468
19129,0.09,9971
19130,0.08,21157
19131,0.12,37491
19132,0.21,28008
19133,0.22,18105
19134,0.21,41805
19135,0.17,24813
19136,0.14,32733
19137,0.17,6675
19138,0.16,25109
19139,0.18,32677
19140,0.21,41723
19141,0.17,26701
19142,0.16,21319
19143,0.18,52625
19144,0.14,35173
19145,0.13,35919
19146,0.13,27604
19147,0.07,29564
19148,0.10,39505
19149,0.15,41787
19150,0.12,18668
19151,0.12,23939
19152,0.09,27317
19153,0.13,10568
19154,0.08,27194
19301,0.05,5306
19310,0.08,2273
19311,0.08,5785
19312,0.03,8932
19316,0.12,199
19317,0.06,7353
19319,0.03,1098
19320,0.08,39218
19330,0.05,3846
19333,0.03,5406
19335,0.06,35985
19341,0.05,13025
19342,0.05,14971
19343,0.08,6105
19344,0.05,8982
19345,0.18,681
19348,0.03,17166
19350,0.04,8316
19352,0.08,7772
19355,0.03,18753
19358,0.05,389
19362,0.06,4206
19363,0.06,11952
19365,0.06,5202
19367,0.15,102
19372,0.03,1127
19373,0.04,3766
19374,0.03,1149
19375,0.00,86
19380,0.05,39838
19382,0.05,42989
19383,0.10,3127
19390,0.07,10219
19401,0.08,33177
19403,0.04,36145
19405,0.10,4190
19406,0.04,19370
19422,0.06,15000
19425,0.05,9738
19426,0.06,29077
19428,0.06,14507
19435,0.00,139
19436,0.12,610
19437,0.00,537
19438,0.04,17796
19440,0.05,15008
19442,,0
19444,0.07,8295
19446,0.07,44159
19453,0.04,1346
19454,0.04,22075
19456,0.04,588
19457,0.00,101
19460,0.05,31630
19462,0.07,11600
19464,0.08,35021
19465,0.05,13311
19468,0.05,19460
19472,,0
19473,0.05,11318
19474,0.00,341
19475,0.09,8982
19477,0.00,109
19492,0.07,325
19501,0.06,718
19503,0.07,867
19504,0.06,4160
19505,0.05,2590
19506,0.06,6131
19507,0.05,2601
19508,0.09,12537
19510,0.05,5382
19511,0.00,389
19512,0.07,14424
19518,0.07,10580
19519,0.00,71
19520,0.07,4642
19522,0.05,11839
19523,0.00,143
19525,0.07,9840
19526,0.08,9307
19529,0.03,2555
19530,0.15,13664
19533,0.06,6558
19534,0.06,1724
19535,0.00,17
19536,0.03,404
19538,0.00,138
19539,0.08,4056
19540,0.05,9598
19541,0.02,3153
19542,0.00,53
19543,0.06,3926
19544,0.08,211
19545,0.00,399
19547,0.07,3672
19549,0.07,199
19550,0.02,498
19551,0.07,3940
19554,0.10,271
19555,0.06,2773
19559,0.08,288
19560,0.05,6016
19562,0.06,2028
19564,0.17,159
19565,0.05,6855
19567,0.10,4355
19601,0.19,22934
19602,0.24,13893
19604,0.17,20238
19605,0.07,15805
19606,0.07,27030
19607,0.05,17895
19608,0.06,16931
19609,0.06,8094
19610,0.05,12992
19611,0.09,7726
19701,0.06,31346
19702,0.07,39581
19703,0.08,10994
19706,0.10,1572
19707,0.04,12515
19709,0.07,25310
19710,,0
19711,0.06,42684
19713,0.07,24420
19716,0.03,1359
19717,0.03,3622
19720,0.11,46838
19730,0.03,273
19731,0.00,99
19732,0.00,26
19733,0.18,76
19734,0.06,7669
19735,0.00,45
19736,,0
19801,0.15,12322
19802,0.12,19920
19803,0.05,17498
19804,0.09,14815
19805,0.10,30848
19806,0.05,8993
19807,0.04,6094
19808,0.06,30224
19809,0.08,11551
19810,0.05,20838
19901,0.09,27465
19902,0.00,134
19904,0.07,25434
19930,0.02,1883
19931,0.03,192
19933,0.09,5884
19934,0.06,9761
19936,0.08,295
19938,0.06,6799
19939,0.08,5914
19940,0.08,3755
19941,0.12,1979
19943,0.10,9453
19944,0.05,633
19945,0.08,7040
19946,0.09,3517
19947,0.09,14444
19950,0.08,5141
19951,0.04,1722
19952,0.07,7936
19953,0.06,3064
19954,0.07,1228
19955,0.00,54
19956,0.10,11124
19958,0.05,16504
19960,0.04,5373
19962,0.05,7307
19963,0.09,14933
19964,0.10,1120
19966,0.09,22551
19967,0.03,298
19968,0.07,7565
19970,0.05,5747
19971,0.06,10268
19973,0.10,16516
19975,0.10,7305
19977,0.06,17368
19979,0.13,519
20001,0.11,34456
20002,0.13,45573
20003,0.05,22634
20004,0.00,1505
20005,0.04,11429
20006,0.06,2884
20007,0.03,22526
20008,0.03,25083
20009,0.05,42452
20010,0.08,25655
20011,0.12,47676
20012,0.10,12591
20015,0.02,12279
20016,0.04,28532
20017,0.14,15278
20018,0.15,13777
20019,0.20,38287
20020,0.18,38190
20024,0.08,10969
20032,0.23,25033
20036,0.03,5205
20037,0.04,13401
20045,,0
20052,0.00,597
20053,,0
20057,0.00,4216
20064,0.10,1656
20105,0.04,7447
20106,0.05,4262
20109,0.07,25279
20110,0.07,31510
20111,0.05,22589
20112,0.04,18885
20115,0.08,5068
20117,0.02,2025
20118,0.29,8
20119,0.07,3114
20120,0.05,31407
20121,0.06,21943
20124,0.06,11939
20129,0.03,521
20130,0.00,294
20132,0.04,11695
20135,0.05,2490
20136,0.02,18738
20137,0.03,1286
20139,0.20,188
20141,0.05,4351
20143,0.00,936
20144,0.01,1204
20147,0.04,38219
20148,0.03,16723
20151,0.04,15791
20152,0.04,16070
20155,0.04,21169
20158,0.06,3176
20164,0.05,28007
20165,0.03,23467
20166,0.05,7178
20169,0.05,13757
20170,0.03,31034
20171,0.03,34349
20175,0.05,19796
20176,0.06,32579
20180,0.02,4558
20181,0.03,5767
20184,0.04,690
20186,0.05,11467
20187,0.06,11769
20190,0.05,13758
20191,0.08,22316
20194,0.04,10288
20197,0.02,1263
20198,0.03,1807
20202,,0
20204,,0
20228,,0
20230,,0
20240,,0
20245,,0
20260,,0
20307,0.00,88
20317,,345
20319,0.00,101
20373,0.00,39
20390,0.00,46
20405,,0
20418,,0
20427,,0
20506,,0
20510,,0
20520,,0
20535,,0
20540,,0
20551,,0
20553,,0
20560,,0
20565,,0
20566,,0
20593,,0
20601,0.08,18902
20602,0.06,18052
20603,0.06,21992
20606,0.05,290
20607,0.05,7596
20608,0.12,690
20609,0.00,746
20611,0.07,686
20612,0.00,258
20613,0.07,10029
20615,0.07,281
20616,0.09,4841
20617,0.09,757
20618,0.04,483
20619,0.01,7428
20620,0.02,1150
20621,0.03,1294
20622,0.07,3887
20623,0.05,2169
20624,0.04,980
20625,0.00,450
20626,0.00,351
20628,0.00,195
20629,0.00,261
20630,0.00,78
20632,0.00,305
20634,0.05,4919
20636,0.06,8212
20637,0.02,3853
20639,0.05,10490
20640,0.10,7420
20645,0.00,577
20646,0.05,14661
20650,0.02,9622
20653,0.06,18539
20657,0.07,15003
20658,0.10,796
20659,0.05,17636
20660,0.00,76
20662,0.12,2193
20664,0.05,2556
20667,0.00,201
20670,0.01,928
20674,0.04,796
20675,0.04,1512
20676,0.06,2648
20677,0.05,2008
20678,0.05,8849
20680,0.03,968
20684,0.02,949
20685,0.04,5408
20686,0.12,1073
20687,0.35,188
20688,0.00,1484
20689,0.05,1457
20690,0.00,354
20692,0.06,830
20693,0.03,941
20695,0.08,4728
20701,,144
20705,0.06,18903
20706,0.08,28273
20707,0.05,25058
20708,0.06,19091
20710,0.13,6995
20711,0.09,5366
20712,0.09,7387
20714,0.08,3329
20715,0.06,21213
20716,0.05,15634
20720,0.05,16392
20721,0.06,20876
20722,0.11,4068
20723,0.04,20432
20724,0.06,12397
20732,0.05,7429
20733,0.05,2334
20735,0.08,28128
20736,0.04,7232
20737,0.12,15441
20740,0.08,24649
20742,0.16,8218
20743,0.12,29168
20744,0.10,40971
20745,0.15,22330
20746,0.10,21897
20747,0.10,30809
20748,0.12,31781
20751,0.04,1927
20754,0.05,5494
20755,0.05,7150
20758,0.01,594
20759,0.00,2577
20762,0.05,1880
20763,0.08,1836
20764,0.07,3165
20765,0.13,361
20769,0.04,4634
20770,0.05,19750
20772,0.07,33526
20774,0.07,33604
20776,0.05,2680
20777,0.07,2170
20778,0.02,1691
20779,0.11,922
20781,0.07,9251
20782,0.09,26245
20783,0.12,36351
20784,0.12,21092
20785,0.09,26963
20794,0.06,13693
20812,0.04,230
20814,0.03,22526
20815,0.05,24681
20816,0.03,11539
20817,0.04,27304
20818,0.01,1933
20832,0.05,18782
20833,0.04,5860
20837,0.05,4593
20838,0.00,178
20839,0.11,151
20841,0.06,7307
20842,0.03,1513
20850,0.05,36015
20851,0.05,10556
20852,0.03,32627
20853,0.06,23920
20854,0.03,38190
20855,0.04,11209
20860,0.14,1810
20861,0.02,1432
20862,0.10,180
20866,0.07,10508
20868,0.00,755
20871,0.05,8971
20872,0.07,10177
20874,0.06,43077
20876,0.07,19380
20877,0.08,24836
20878,0.04,48324
20879,0.05,18829
20880,0.03,376
20882,0.04,10501
20886,0.06,25615
20895,0.07,14562
20896,0.04,660
20899,0.00,131
20901,0.06,27047
20902,0.07,37130
20903,0.12,18900
20904,0.09,43440
20905,0.05,14547
20906,0.07,51495
20910,0.05,31776
20912,0.08,20061
21001,0.09,16759
21005,0.05,1325
21009,0.04,21719
21010,0.00,168
21012,0.03,16196
21013,0.04,3880
21014,0.05,27504
21015,0.05,20835
21017,0.05,5962
21028,0.05,2920
21029,0.03,8251
21030,0.06,20169
21031,,40
21032,0.04,6628
21034,0.05,2741
21035,0.04,5593
21036,0.01,1914
21037,0.08,16279
21040,0.10,17661
21042,0.04,29941
21043,0.03,31481
21044,0.05,33550
21045,0.08,30487
21046,0.05,12495
21047,0.05,9308
21048,0.05,9020
21050,0.06,14084
21051,0.09,253
21052,0.32,200
21053,0.02,2448
21054,0.04,7116
21056,0.00,145
21057,0.03,3386
21060,0.07,22315
21061,0.07,42328
21071,0.35,220
21074,0.03,11524
21075,0.04,18881
21076,0.07,9983
21077,0.00,44
21078,0.09,14970
21082,0.00,449
21084,0.04,6489
21085,0.07,13485
21087,0.06,4665
21090,0.07,8169
21093,0.04,29906
21102,0.06,8767
21104,0.02,3846
21105,0.00,39
21108,0.03,13873
21111,0.05,4186
21113,0.04,23216
21114,0.04,19451
21117,0.05,43058
21120,0.02,5443
21122,0.07,47170
21128,0.05,10530
21130,0.12,142
21131,0.04,5779
21132,0.05,2046
21133,0.08,22853
21136,0.06,26768
21140,0.05,3031
21144,0.07,23416
21146,0.06,20682
21152,0.05,4831
21153,0.23,304
21154,0.06,5701
21155,0.12,2110
21156,0.09,204
21157,0.05,29968
21158,0.04,15246
21160,0.05,1587
21161,0.04,5002
21162,0.08,2686
21163,0.04,5507
21201,0.11,13833
21202,0.12,18828
21204,0.04,17035
21205,0.20,12726
21206,0.11,40216
21207,0.09,38966
21208,0.06,26308
21209,0.06,21122
21210,0.05,12603
21211,0.06,15087
21212,0.08,26323
21213,0.18,24663
21214,0.08,16268
21215,0.15,51432
21216,0.17,21973
21217,0.19,29692
21218,0.11,42874
21219,0.08,7769
21220,0.07,31382
21221,0.09,32655
21222,0.11,44066
21223,0.23,19830
21224,0.09,38296
21225,0.14,25146
21226,0.12,5844
21227,0.11,27533
21228,0.07,38376
21229,0.13,37381
21230,0.09,27545
21231,0.08,13620
21234,0.06,55939
21236,0.05,30846
21237,0.08,23978
21239,0.09,23973
21240,,0
21244,0.09,27096
21250,0.03,3392
21251,0.34,834
21252,0.03,2743
21286,0.04,16552
21401,0.04,30743
21402,0.01,5552
21403,0.06,24459
21405,0.07,306
21409,0.06,14739
21502,0.08,36894
21520,0.02,1706
21521,0.03,1102
21522,0.00,120
21523,0.38,272
21524,0.04,490
21529,0.12,361
21530,0.08,1396
21531,0.08,1934
21532,0.09,13497
21536,0.04,3253
21538,0.10,573
21539,0.09,2380
21540,0.05,74
21541,0.06,1124
21542,0.09,445
21543,0.00,109
21545,0.05,1617
21550,0.05,11313
21555,0.10,1453
21557,0.04,1844
21561,0.06,2214
21562,0.08,2549
21601,0.06,18927
21607,0.09,590
21610,0.07,350
21612,0.00,281
21613,0.13,14078
21617,0.05,7493
21619,0.13,5200
21620,0.07,10612
21622,0.02,582
21623,0.09,1483
21624,0.16,136
21625,0.03,1993
21626,0.16,88
21627,0.00,33
21628,0.07,263
21629,0.07,7482
21631,0.09,2129
21632,0.09,4577
21634,0.00,315
21635,0.03,1702
21636,0.03,1270
21638,0.09,3930
21639,0.08,3404
21640,0.05,1177
21641,0.06,33
21643,0.14,4414
21644,0.00,66
21645,0.02,1086
21647,0.00,410
21648,0.00,292
21649,0.09,1515
21650,0.09,264
21651,0.08,2224
21652,0.55,87
21653,0.00,73
21654,0.03,971
21655,0.08,3987
21657,0.10,645
21658,0.05,3119
21659,0.19,1378
21660,0.07,3085
21661,0.09,2142
21662,0.09,657
21663,0.14,3109
21664,0.11,464
21665,0.00,220
21666,0.04,9400
21667,0.00,213
21668,0.04,1175
21669,0.00,170
21671,0.14,700
21672,0.00,190
21673,0.07,2775
21675,0.00,49
21676,0.00,405
21677,0.09,344
21678,0.08,2223
21679,0.15,415
21701,0.06,29098
21702,0.06,29287
21703,0.07,24543
21704,0.06,8932
21705,0.00,2
21710,0.05,3827
21711,0.03,781
21713,0.04,7878
21714,,0
21716,0.07,3681
21717,,0
21718,0.04,146
21719,0.09,1051
21722,0.10,4481
21723,0.11,610
21727,0.06,4914
21733,0.12,975
21734,0.13,906
21737,0.02,714
21738,0.04,2509
21740,0.09,47896
21742,0.06,25467
21746,,2312
21750,0.07,3145
21754,0.04,4711
21755,0.04,4420
21756,0.06,2511
21757,0.08,2299
21758,0.04,4111
21762,0.55,74
21766,0.10,635
21767,0.14,981
21769,0.05,8262
21770,0.02,4668
21771,0.04,22133
21773,0.05,4572
21774,0.03,7971
21776,0.04,4290
21777,0.03,1152
21778,0.02,1109
21779,0.04,764
21780,0.05,1538
21781,0.15,30
21782,0.06,3652
21783,0.06,6639
21784,0.03,30169
21787,0.03,8805
21788,0.06,8741
21790,,20
21791,0.05,4333
21793,0.07,7561
21794,0.04,1621
21795,0.07,7006
21797,0.03,6233
21798,0.05,1854
21801,0.11,24350
21802,,27
21804,0.10,29964
21810,0.00,392
21811,0.08,18502
21813,0.03,2207
21814,0.40,445
21817,0.09,4031
21821,0.08,790
21822,0.12,1620
21824,0.15,120
21826,0.06,3688
21829,0.11,633
21830,0.08,2608
21835,0.11,520
21837,0.03,2177
21838,0.15,1494
21840,0.00,189
21841,0.23,830
21842,0.07,9728
21849,0.02,3046
21850,0.10,2292
21851,0.11,5545
21853,0.05,9050
21856,0.00,792
21861,0.07,700
21862,0.00,200
21863,0.06,4130
21864,0.06,588
21865,0.16,445
21866,0.00,51
21867,,15
21869,0.12,644
21871,0.07,2858
21872,0.03,588
21874,0.03,1742
21875,0.10,5171
21890,,2696
21901,0.12,11731
21902,,115
21903,0.08,4513
21904,0.05,5955
21911,0.05,9244
21912,0.10,943
21913,0.05,374
21914,0.14,533
21915,0.05,2471
21916,,28
21917,0.05,2011
21918,0.05,3487
21919,0.06,3067
21920,0.27,105
21921,0.08,33729
21930,0.00,101
22003,0.05,44295
22015,0.04,33642
22025,0.06,13691
22026,0.06,10324
22027,0.02,1988
22030,0.06,44273
22031,0.04,24383
22032,0.05,23945
22033,0.03,29737
22035,,0
22039,0.05,14773
22041,0.06,20895
22042,0.06,24859
22043,0.05,18693
22044,0.05,10886
22046,0.05,12019
22060,0.06,5805
22066,0.03,14594
22079,0.05,24187
22101,0.03,22437
22102,0.05,16921
22124,0.03,13376
22125,0.03,482
22134,0.02,6574
22150,0.07,21843
22151,0.05,14069
22152,0.04,22208
22153,0.04,24758
22172,0.06,6132
22180,0.04,18678
22181,0.02,11074
22182,0.05,19083
22185,,0
22191,0.06,41438
22192,0.05,39048
22193,0.06,53039
22201,0.02,29220
22202,0.02,18062
22203,0.03,18938
22204,0.05,39852
22205,0.03,13299
22206,0.02,16439
22207,0.04,24733
22209,0.03,10478
22211,0.01,805
22213,0.00,2469
22214,0.00,135
22301,0.04,9376
22302,0.04,14032
22303,0.05,10983
22304,0.04,37107
22305,0.05,11117
22306,0.05,23816
22307,0.03,8270
22308,0.04,9397
22309,0.05,24339
22310,0.05,22878
22311,0.04,14327
22312,0.05,22663
22314,0.04,25198
22315,0.03,20397
22401,0.10,19585
22405,0.05,22366
22406,0.09,15118
22407,0.07,42118
22408,0.07,19501
22427,0.12,2850
22432,0.22,233
22433,0.23,118
22435,0.01,1650
22436,0.07,562
22437,0.01,888
22438,0.00,189
22443,0.11,7024
22448,0.02,750
22454,0.01,1634
22460,0.04,1559
22469,0.16,1366
22473,0.06,4628
22476,0.09,349
22480,0.03,825
22482,0.05,2783
22485,0.06,16880
22488,0.07,786
