Zip,Unemp. Rate,# in sample
2066,0.06,13408
2067,0.05,13088
2071,0.06,1612
2072,0.09,22293
2081,0.07,14289
2090,0.05,10653
2093,0.06,8476
2108,0.06,3414
2109,0.02,3682
2110,0.01,1522
2111,0.10,6615
2113,0.02,6569
2114,0.05,10995
2115,0.11,28363
2116,0.05,19078
2118,0.11,23660
2119,0.15,18314
2120,0.11,10603
2121,0.22,18603
2122,0.15,19377
2124,0.17,37038
2125,0.12,25066
2126,0.17,21318
2127,0.08,27860
2128,0.10,33633
2129,0.08,14153
2130,0.07,30830
2131,0.11,24622
2132,0.07,22239
2134,0.07,19122
2135,0.05,37402
2136,0.11,23386
2138,0.06,30851
2139,0.06,31582
2140,0.08,15581
2141,0.04,11475
2142,0.01,2636
2143,0.07,22295
2144,0.06,22195
2145,0.06,20046
2148,0.11,48731
2149,0.10,33082
2150,0.11,26877
2151,0.09,41475
2152,0.09,14564
2155,0.07,50391
2163,0.11,1608
2169,0.10,45040
2170,0.07,16976
2171,0.08,16122
2176,0.06,21610
2180,0.07,17737
2184,0.08,28552
2186,0.07,20974
2188,0.09,11727
2189,0.08,11628
2190,0.07,13103
2191,0.07,7021
2199,0.01,1143
2203,,0
2210,0.01,1545
2215,0.08,23652
2301,0.15,47230
2302,0.11,25479
2322,0.12,3573
2324,0.08,21537
2330,0.09,9067
2332,0.07,10973
2333,0.05,11155
2338,0.09,6094
2339,0.07,10605
2341,0.09,7946
2343,0.08,8484
2346,0.08,17735
2347,0.07,8115
2351,0.07,12407
2356,0.06,10422
2357,0.14,1011
2359,0.07,13472
2360,0.09,44621
2364,0.11,9802
2366,,146
2367,0.09,2285
2368,0.10,26001
2370,0.11,14269
2375,0.07,7342
2379,0.09,5551
2382,0.07,11354
2420,0.04,10809
2421,0.05,13364
2445,0.04,17333
2446,0.05,24544
2451,0.05,14515
2452,0.05,12904
2453,0.05,25598
2457,0.09,1278
2458,0.05,8997
2459,0.03,14756
2460,0.05,7150
2461,0.06,5132
2462,0.01,1209
2464,0.05,2304
2465,0.05,9107
2466,0.07,6842
2467,0.04,18785
2468,0.03,3985
2472,0.07,27908
2474,0.05,21744
2476,0.04,12827
2478,0.04,19353
2481,0.07,12141
2482,0.06,8055
2492,0.04,15076
2493,0.06,8297
2494,0.08,6643
2532,0.09,10146
2534,0.00,850
2535,0.06,944
2536,0.07,16382
2537,0.07,4694
2538,0.12,2774
2539,0.06,3542
2540,0.08,7527
2542,0.05,887
2543,0.04,572
2553,0.00,226
2554,0.03,8071
2556,0.06,2600
2557,0.03,3355
